cotton;polyester,4.95,17.12,27.80,14.86,17.84,19.27,18.44,19.83,15.66,4.79,36.33,23.54,25.96,16.41,6.73,7.69,27.79,70.28
cotton;polyester,4.95,10.46,15.75,9.29,9.73,9.63,14.23,19.31,15.20,4.36,34.52,21.65,15.14,16.41,6.73,10.25,47.52,136.99
cotton;polyester,3.96,16.17,32.44,12.08,17.84,20.01,21.08,20.88,15.66,5.23,36.33,20.71,31.37,16.41,7.57,7.69,27.79,57.18
cotton,6.93,7.61,6.49,5.57,6.49,5.19,6.85,11.48,9.21,4.79,113.85,50.84,5.41,14.36,9.25,14.52,99.52,332.34
cotton,19.79,19.97,17.61,13.01,16.22,11.12,23.19,41.23,23.95,17.43,941.07,270.21,18.39,47.19,35.33,71.77,989.79,2460.97
cotton,3.96,5.71,4.63,3.72,4.06,2.22,5.80,9.39,8.75,4.36,83.57,43.31,4.33,11.29,7.57,10.25,51.10,146.51
cotton,7.92,38.99,78.77,33.44,47.05,54.10,49.01,48.02,33.16,10.89,50.87,30.13,76.79,40.01,14.30,15.38,84.28,210.84
cotton,13.85,32.34,32.44,36.23,28.39,33.35,47.43,55.32,36.39,12.64,133.23,53.67,58.41,37.96,20.19,33.32,411.52,773.07
cotton,12.86,22.83,32.44,19.51,25.14,24.46,27.93,38.10,29.94,12.20,233.15,91.33,37.86,30.78,15.98,23.92,195.45,521.73
cotton,15.83,17.12,14.83,12.08,15.41,10.38,12.12,20.36,15.20,8.71,357.90,108.27,10.82,21.54,21.03,39.30,421.38,1143.53
cotton,12.86,16.17,14.83,10.22,11.36,8.89,10.01,14.61,11.51,6.10,135.04,58.37,8.65,15.39,11.78,22.21,112.97,408.57
cotton,6.93,10.46,13.90,6.50,8.92,7.41,6.85,10.96,9.67,4.79,107.79,48.02,7.57,15.39,9.25,14.52,98.62,313.28
cotton,4.95,8.56,16.68,9.29,12.17,7.41,12.65,14.61,12.44,6.97,54.50,28.24,14.06,18.47,10.09,11.96,58.28,123.88
cotton,7.92,10.46,12.97,7.43,11.36,11.12,15.28,21.40,17.50,7.84,122.93,52.72,17.31,20.52,10.93,13.67,83.38,200.12
cotton,6.93,12.36,18.54,10.22,15.41,16.30,15.81,18.79,16.12,7.41,84.78,40.48,21.63,19.49,10.93,13.67,72.62,198.93
